layer,head,importance,similarity,mean_jsd,n_prompts_or_windows,n_token_vectors
6,10,0.031401,0.968599,0.0217655,0,2166
6,11,0.00827828,0.991722,0.00573807,0,2166
6,12,0.00755105,0.992449,0.00523399,0,2166
6,13,0.00927509,0.990725,0.00642901,0,2166
6,14,0.00860187,0.991398,0.00596237,0,2166
6,15,0.0119188,0.988081,0.00826149,0,2166
7,0,0.0162996,0.9837,0.011298,0,2166
7,1,0.0155376,0.984462,0.0107698,0,2166
7,2,0.00975801,0.990242,0.00676374,0,2166
7,3,0.00883775,0.991162,0.00612586,0,2166
7,4,0.0148912,0.985109,0.0103218,0,2166
7,5,0.0278634,0.972137,0.0193134,0,2166
7,6,0.0233131,0.976687,0.0161594,0,2166
7,7,0.0103908,0.989609,0.00720237,0,2166
7,8,0.0138886,0.986111,0.00962685,0,2166
7,9,0.0186514,0.981349,0.0129282,0,2166
7,10,0.0152807,0.984719,0.0105918,0,2166
7,11,0.00995381,0.990046,0.00689946,0,2166
7,12,0.0104442,0.989556,0.00723936,0,2166
7,13,0.0138082,0.986192,0.00957113,0,2166
7,14,0.0144938,0.985506,0.0100464,0,2166
7,15,0.0101729,0.989827,0.00705131,0,2166
8,0,0.0122929,0.987707,0.00852076,0,2166
8,1,0.0148698,0.98513,0.010307,0,2166
8,2,0.0112099,0.98879,0.00777009,0,2166
8,3,0.0157316,0.984268,0.0109043,0,2166
8,4,0.0115918,0.988408,0.00803483,0,2166
8,5,0.014186,0.985814,0.00983301,0,2166
8,6,0.0193117,0.980688,0.0133858,0,2166
8,7,0.0129225,0.987077,0.0089572,0,2166
8,8,0.0259234,0.974077,0.0179687,0,2166
8,9,0.0218609,0.978139,0.0151529,0,2166
8,10,0.0165523,0.983448,0.0114732,0,2166
8,11,0.0142524,0.985748,0.00987901,0,2166
8,12,0.0166287,0.983371,0.0115261,0,2166
8,13,0.0114846,0.988515,0.00796051,0,2166
8,14,0.0153965,0.984604,0.010672,0,2166
8,15,0.020124,0.979876,0.0139489,0,2166
9,0,0.0264772,0.973523,0.0183526,0,2166
9,1,0.0341029,0.965897,0.0236383,0,2166
9,2,0.0187034,0.981297,0.0129642,0,2166
9,3,0.020167,0.979833,0.0139787,0,2166
9,4,0.03504,0.96496,0.0242878,0,2166
9,5,0.0215294,0.978471,0.014923,0,2166
9,6,0.0178203,0.98218,0.0123521,0,2166
9,7,0.0214793,0.978521,0.0148883,0,2166
9,8,0.0310036,0.968996,0.02149,0,2166
9,9,0.0276087,0.972391,0.0191369,0,2166
9,10,0.0529136,0.947086,0.0366769,0,2166
9,11,0.0240403,0.97596,0.0166635,0,2166
9,12,0.0295292,0.970471,0.0204681,0,2166
9,13,0.0427597,0.95724,0.0296388,0,2166
9,14,0.0191974,0.980803,0.0133066,0,2166
9,15,0.0305116,0.969488,0.021149,0,2166
10,0,0.0316812,0.968319,0.0219597,0,2166
10,1,0.0324163,0.967584,0.0224692,0,2166
10,2,0.0288457,0.971154,0.0199943,0,2166
10,3,0.0209747,0.979025,0.0145385,0,2166
10,4,0.0273772,0.972623,0.0189765,0,2166
