layer,head,importance,similarity,mean_jsd,n_prompts_or_windows,n_token_vectors
7,9,0.0186438,0.981356,0.0129229,0,16995
7,10,0.0155301,0.98447,0.0107646,0,16995
7,11,0.00996485,0.990035,0.00690711,0,16995
7,12,0.0102489,0.989751,0.00710397,0,16995
7,13,0.0133195,0.98668,0.00923238,0,16995
7,14,0.014543,0.985457,0.0100805,0,16995
7,15,0.00997692,0.990023,0.00691547,0,16995
8,0,0.012323,0.987677,0.00854164,0,16995
8,1,0.0149589,0.985041,0.0103687,0,16995
8,2,0.0112585,0.988741,0.00780383,0,16995
8,3,0.0159978,0.984002,0.0110888,0,16995
8,4,0.0114299,0.98857,0.00792261,0,16995
8,5,0.0145344,0.985466,0.0100745,0,16995
8,6,0.0194562,0.980544,0.013486,0,16995
8,7,0.0132276,0.986772,0.00916871,0,16995
8,8,0.0259854,0.974015,0.0180117,0,16995
8,9,0.0221344,0.977866,0.0153424,0,16995
8,10,0.0166512,0.983349,0.0115417,0,16995
8,11,0.0144581,0.985542,0.0100216,0,16995
8,12,0.016322,0.983678,0.0113136,0,16995
8,13,0.011299,0.988701,0.00783184,0,16995
8,14,0.0153278,0.984672,0.0106244,0,16995
8,15,0.02093,0.97907,0.0145076,0,16995
9,0,0.0264835,0.973516,0.018357,0,16995
9,1,0.0339234,0.966077,0.0235139,0,16995
9,2,0.0189201,0.98108,0.0131144,0,16995
9,3,0.0199852,0.980015,0.0138527,0,16995
9,4,0.0346441,0.965356,0.0240135,0,16995
9,5,0.0215263,0.978474,0.0149209,0,16995
9,6,0.0178411,0.982159,0.0123665,0,16995
9,7,0.0218316,0.978168,0.0151325,0,16995
9,8,0.030466,0.969534,0.0211174,0,16995
9,9,0.0282883,0.971712,0.019608,0,16995
9,10,0.0510978,0.948902,0.0354183,0,16995
9,11,0.0246471,0.975353,0.017084,0,16995
9,12,0.029193,0.970807,0.020235,0,16995
9,13,0.0426752,0.957325,0.0295802,0,16995
9,14,0.0191026,0.980897,0.0132409,0,16995
9,15,0.0300604,0.96994,0.0208363,0,16995
10,0,0.0298399,0.97016,0.0206835,0,16995
10,1,0.0315133,0.968487,0.0218434,0,16995
10,2,0.0288209,0.971179,0.0199771,0,16995
10,3,0.0200316,0.979968,0.0138849,0,16995
10,4,0.0269327,0.973067,0.0186683,0,16995
10,5,0.0248436,0.975156,0.0172203,0,16995
10,6,0.0552631,0.944737,0.0383055,0,16995
10,7,0.0292002,0.9708,0.02024,0,16995
10,8,0.0262429,0.973757,0.0181902,0,16995
10,9,0.0293482,0.970652,0.0203426,0,16995
10,10,0.0214714,0.978529,0.0148828,0,16995
10,11,0.0282855,0.971715,0.019606,0,16995
10,12,0.023903,0.976097,0.0165683,0,16995
10,13,0.0250624,0.974938,0.0173719,0,16995
10,14,0.0409146,0.959085,0.0283599,0,16995
10,15,0.0363751,0.963625,0.0252133,0,16995
11,0,0.0235557,0.976444,0.0163276,0,16995
11,1,0.0315994,0.968401,0.0219031,0,16995
11,2,0.0353011,0.964699,0.0244689,0,16995
11,3,0.0240042,0.975996,0.0166384,0,16995
11,4,0.0270615,0.972938,0.0187576,0,16995
11,5,0.0282676,0.971732,0.0195936,0,16995
11,6,0.040382,0.959618,0.0279906,0,16995
11,7,0.0301158,0.969884,0.0208747,0,16995
11,8,0.0269505,0.973049,0.0186807,0,16995
11,9,0.0273964,0.972604,0.0189897,0,16995
11,10,0.0330675,0.966933,0.0229206,0,16995
11,11,0.0301361,0.969864,0.0208888,0,16995
11,12,0.0262455,0.973754,0.018192,0,16995
11,13,0.0274331,0.972567,0.0190152,0,16995
11,14,0.0316139,0.968386,0.0219131,0,16995
11,15,0.0383937,0.961606,0.0266125,0,16995
12,0,0.037517,0.962483,0.0260048,0,16995
12,1,0.04284,0.95716,0.0296944,0,16995
12,2,0.0310477,0.968952,0.0215206,0,16995
12,3,0.0325971,0.967403,0.0225946,0,16995
12,4,0.0515697,0.94843,0.0357454,0,16995
12,5,0.0389418,0.961058,0.0269924,0,16995
12,6,0.0371058,0.962894,0.0257198,0,16995
12,7,0.0332615,0.966739,0.0230551,0,16995
12,8,0.042957,0.957043,0.0297755,0,16995
12,9,0.0600493,0.939951,0.041623,0,16995
12,10,0.069973,0.930027,0.0485016,0,16995
12,11,0.0287806,0.971219,0.0199492,0,16995
12,12,0.0368818,0.963118,0.0255645,0,16995
12,13,0.114537,0.885463,0.0793909,0,16995
12,14,0.0276921,0.972308,0.0191947,0,16995
12,15,0.0336804,0.96632,0.0233455,0,16995
13,0,0.0403651,0.959635,0.027979,0,16995
13,1,0.0486913,0.951309,0.0337503,0,16995
13,2,0.0355733,0.964427,0.0246576,0,16995
13,3,0.0456953,0.954305,0.0316736,0,16995
13,4,0.0456301,0.95437,0.0316283,0,16995
13,5,0.0440878,0.955912,0.0305593,0,16995
13,6,0.0301522,0.969848,0.0208999,0,16995
13,7,0.0407309,0.959269,0.0282325,0,16995
13,8,0.0304218,0.969578,0.0210868,0,16995
13,9,0.0423574,0.957643,0.0293599,0,16995
13,10,0.0465691,0.953431,0.0322793,0,16995
13,11,0.0484432,0.951557,0.0335782,0,16995
13,12,0.0363259,0.963674,0.0251792,0,16995
13,13,0.0417538,0.958246,0.0289415,0,16995
13,14,0.03134,0.96866,0.0217232,0,16995
13,15,0.0454831,0.954517,0.0315265,0,16995
14,0,0.0233426,0.976657,0.0161798,0,16995
14,1,0.0300348,0.969965,0.0208185,0,16995
14,2,0.0166211,0.983379,0.0115209,0,16995
14,3,0.0344218,0.965578,0.0238593,0,16995
14,4,0.019913,0.980087,0.0138026,0,16995
14,5,0.0269208,0.973079,0.0186601,0,16995
14,6,0.0292,0.9708,0.0202399,0,16995
14,7,0.0248215,0.975179,0.0172049,0,16995
14,8,0.0316834,0.968317,0.0219613,0,16995
14,9,0.0226375,0.977363,0.0156911,0,16995
14,10,0.015468,0.984532,0.0107216,0,16995
14,11,0.0339741,0.966026,0.023549,0,16995
14,12,0.0247143,0.975286,0.0171306,0,16995
14,13,0.0210225,0.978977,0.0145717,0,16995
14,14,0.0160591,0.983941,0.0111313,0,16995
14,15,0.0280471,0.971953,0.0194408,0,16995
15,0,0.0873037,0.912696,0.0605143,0,16995
15,1,0.0386719,0.961328,0.0268053,0,16995
15,2,0.0302299,0.96977,0.0209538,0,16995
15,3,0.0506663,0.949334,0.0351192,0,16995
15,4,0.0866113,0.913389,0.0600344,0,16995
15,5,0.0441382,0.955862,0.0305942,0,16995
15,6,0.0457639,0.954236,0.0317212,0,16995
15,7,0.0833073,0.916693,0.0577442,0,16995
15,8,0.0397196,0.96028,0.0275315,0,16995
15,9,0.0485308,0.951469,0.033639,0,16995
15,10,0.0601117,0.939888,0.0416663,0,16995
15,11,0.0339835,0.966016,0.0235556,0,16995
15,12,0.0517373,0.948263,0.0358616,0,16995
15,13,0.0553735,0.944627,0.038382,0,16995
15,14,0.0518786,0.948121,0.0359595,0,16995
15,15,0.0397454,0.960255,0.0275494,0,16995
16,0,0.0576881,0.942312,0.0399864,0,16995
16,1,0.028719,0.971281,0.0199065,0,16995
16,2,0.046692,0.953308,0.0323644,0,16995
16,3,0.0245783,0.975422,0.0170364,0,16995
16,4,0.0321493,0.967851,0.0222842,0,16995
16,5,0.038863,0.961137,0.0269378,0,16995
16,6,0.0279572,0.972043,0.0193784,0,16995
16,7,0.0525702,0.94743,0.0364389,0,16995
16,8,0.0253705,0.974629,0.0175855,0,16995
16,9,0.0346445,0.965355,0.0240138,0,16995
16,10,0.0351465,0.964853,0.0243617,0,16995
16,11,0.0318728,0.968127,0.0220926,0,16995
16,12,0.0322091,0.967791,0.0223256,0,16995
16,13,0.0335007,0.966499,0.0232209,0,16995
16,14,0.0922752,0.907725,0.0639603,0,16995
16,15,0.0257624,0.974238,0.0178571,0,16995
17,0,0.0498804,0.95012,0.0345745,0,16995
17,1,0.0698925,0.930108,0.0484458,0,16995
17,2,0.0393468,0.960653,0.0272731,0,16995
17,3,0.0649118,0.935088,0.0449934,0,16995
17,4,0.0457932,0.954207,0.0317414,0,16995
17,5,0.0413656,0.958634,0.0286724,0,16995
17,6,0.0447093,0.955291,0.0309901,0,16995
17,7,0.0656777,0.934322,0.0455243,0,16995
17,8,0.053954,0.946046,0.0373981,0,16995
17,9,0.0763712,0.923629,0.0529365,0,16995
17,10,0.0445188,0.955481,0.0308581,0,16995
17,11,0.0575255,0.942474,0.0398737,0,16995
17,12,0.0413597,0.95864,0.0286683,0,16995
17,13,0.0495382,0.950462,0.0343373,0,16995
17,14,0.0436319,0.956368,0.0302433,0,16995
17,15,0.0473015,0.952699,0.0327869,0,16995
18,0,0.0566654,0.943335,0.0392775,0,16995
18,1,0.0529423,0.947058,0.0366968,0,16995
18,2,0.0553818,0.944618,0.0383878,0,16995
18,3,0.0586349,0.941365,0.0406426,0,16995
18,4,0.034679,0.965321,0.0240376,0,16995
18,5,0.0694597,0.93054,0.0481458,0,16995
18,6,0.0458131,0.954187,0.0317552,0,16995
18,7,0.0432541,0.956746,0.0299815,0,16995
18,8,0.0529185,0.947081,0.0366803,0,16995
18,9,0.0371243,0.962876,0.0257326,0,16995
18,10,0.0341692,0.965831,0.0236843,0,16995
18,11,0.0431479,0.956852,0.0299078,0,16995
18,12,0.0354562,0.964544,0.0245764,0,16995
18,13,0.0748751,0.925125,0.0518995,0,16995
18,14,0.0397206,0.960279,0.0275322,0,16995
18,15,0.0497517,0.950248,0.0344852,0,16995
19,0,0.185067,0.814933,0.128279,0,16995
19,1,0.266764,0.733236,0.184907,0,16995
19,2,0.240675,0.759325,0.166823,0,16995
19,3,0.23012,0.76988,0.159507,0,16995
19,4,0.27857,0.72143,0.19309,0,16995
19,5,0.251193,0.748807,0.174114,0,16995
19,6,0.0854705,0.914529,0.0592436,0,16995
19,7,0.265102,0.734898,0.183755,0,16995
19,8,0.136712,0.863288,0.0947612,0,16995
19,9,0.268401,0.731599,0.186041,0,16995
19,10,0.116216,0.883784,0.0805551,0,16995
19,11,0.260326,0.739674,0.180444,0,16995
19,12,0.286416,0.713584,0.198528,0,16995
19,13,0.287115,0.712885,0.199013,0,16995
19,14,0.268262,0.731738,0.185945,0,16995
19,15,0.19582,0.80418,0.135732,0,16995
20,0,0.0799114,0.920089,0.0553904,0,16995
20,1,0.0808763,0.919124,0.0560591,0,16995
20,2,0.0743958,0.925604,0.0515673,0,16995
20,3,0.0748993,0.925101,0.0519163,0,16995
20,4,0.0819767,0.918023,0.0568219,0,16995
20,5,0.0918275,0.908172,0.06365,0,16995
20,6,0.0683266,0.931673,0.0473604,0,16995
20,7,0.164286,0.835714,0.113875,0,16995
20,8,0.105235,0.894765,0.0729432,0,16995
20,9,0.0845545,0.915445,0.0586087,0,16995
20,10,0.0754688,0.924531,0.052311,0,16995
20,11,0.0736362,0.926364,0.0510407,0,16995
20,12,0.0915776,0.908422,0.0634768,0,16995
20,13,0.0869767,0.913023,0.0602877,0,16995
20,14,0.0558022,0.944198,0.0386791,0,16995
20,15,0.0894995,0.910501,0.0620363,0,16995
21,0,0.0590815,0.940918,0.0409522,0,16995
21,1,0.114727,0.885273,0.0795224,0,16995
21,2,0.189139,0.810861,0.131101,0,16995
21,3,0.102532,0.897468,0.07107,0,16995
