op name, kernel name, exec duration (ms), global size, local size, output size
__fattn__-2,flash_attn_f32_f16,47.632500,128x28x0,32x1x0,128x28x128x1
ffn_inp-2,kernel_add,0.223300,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-2,kernel_rms_norm_mul,0.099200,131072x1x1,1024x1x1,3584x128x1x1
ffn_swiglu-2,kernel_swiglu,0.598300,65536x1x1,512x1x1,18944x128x1x1
ffn_out-2,kernel_mul_mv_q6_K_f32,549.375793,3584x8192x1,2x64x1,3584x128x1x1
l_out-2,kernel_add,0.210300,8192x1x1,64x1x1,3584x128x1x1
attn_norm-3,kernel_rms_norm_mul,0.102500,131072x1x1,1024x1x1,3584x128x1x1
Qcur-3,kernel_add_row,0.139500,114688x0x0,64x0x0,3584x128x1x1
Qcur-3,kernel_rope_neox_f32,0.107800,1792x128x1,64x1x1,128x28x128x1
Kcur-3,kernel_add_row,0.024000,16384x0x0,64x0x0,512x128x1x1
Kcur-3,kernel_rope_neox_f32,0.012800,256x128x1,64x1x1,128x4x128x1
Vcur-3,kernel_add_row,0.010600,16384x0x0,64x0x0,512x128x1x1
cache_k_l3 (view),kernel_set_rows_f16_i64,0.018000,65536x1x1,512x1x1,512x4096x1x1
cache_v_l3 (view),kernel_set_rows_f16_i64,0.015200,65536x1x1,512x1x1,512x4096x1x1
__fattn__-3,flash_attn_f32_f16,45.881401,128x28x0,32x1x0,128x28x128x1
ffn_inp-3,kernel_add,0.227800,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-3,kernel_rms_norm_mul,0.098300,131072x1x1,1024x1x1,3584x128x1x1
l_out-3,kernel_add,0.128400,8192x1x1,64x1x1,3584x128x1x1
attn_norm-4,kernel_rms_norm_mul,0.088800,131072x1x1,1024x1x1,3584x128x1x1
Qcur-4,kernel_add_row,0.069100,114688x0x0,64x0x0,3584x128x1x1
Qcur-4,kernel_rope_neox_f32,0.078700,1792x128x1,64x1x1,128x28x128x1
Kcur-4,kernel_add_row,0.013700,16384x0x0,64x0x0,512x128x1x1
Kcur-4,kernel_rope_neox_f32,0.012000,256x128x1,64x1x1,128x4x128x1
Vcur-4,kernel_add_row,0.010000,16384x0x0,64x0x0,512x128x1x1
cache_k_l4 (view),kernel_set_rows_f16_i64,0.015400,65536x1x1,512x1x1,512x4096x1x1
cache_v_l4 (view),kernel_set_rows_f16_i64,0.014300,65536x1x1,512x1x1,512x4096x1x1
__fattn__-4,flash_attn_f32_f16,35.193298,128x28x0,32x1x0,128x28x128x1
ffn_inp-4,kernel_add,0.215900,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-4,kernel_rms_norm_mul,0.098800,131072x1x1,1024x1x1,3584x128x1x1
l_out-4,kernel_add,0.155600,8192x1x1,64x1x1,3584x128x1x1
attn_norm-5,kernel_rms_norm_mul,0.092400,131072x1x1,1024x1x1,3584x128x1x1
Qcur-5,kernel_add_row,0.081500,114688x0x0,64x0x0,3584x128x1x1
Qcur-5,kernel_rope_neox_f32,0.076300,1792x128x1,64x1x1,128x28x128x1
Kcur-5,kernel_add_row,0.011900,16384x0x0,64x0x0,512x128x1x1
Kcur-5,kernel_rope_neox_f32,0.012100,256x128x1,64x1x1,128x4x128x1
node_182,kernel_mul_mv_q6_K_f32,15.372500,512x8192x1,2x64x1,512x128x1x1
Vcur-5,kernel_add_row,0.010000,16384x0x0,64x0x0,512x128x1x1
cache_k_l5 (view),kernel_set_rows_f16_i64,0.019300,65536x1x1,512x1x1,512x4096x1x1
cache_v_l5 (view),kernel_set_rows_f16_i64,0.015000,65536x1x1,512x1x1,512x4096x1x1
__fattn__-5,flash_attn_f32_f16,46.778801,128x28x0,32x1x0,128x28x128x1
ffn_inp-5,kernel_add,0.213000,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-5,kernel_rms_norm_mul,0.099500,131072x1x1,1024x1x1,3584x128x1x1
ffn_swiglu-5,kernel_swiglu,0.534900,65536x1x1,512x1x1,18944x128x1x1
ffn_out-5,kernel_mul_mv_q6_K_f32,538.754517,3584x8192x1,2x64x1,3584x128x1x1
l_out-5,kernel_add,0.215700,8192x1x1,64x1x1,3584x128x1x1
attn_norm-6,kernel_rms_norm_mul,0.113200,131072x1x1,1024x1x1,3584x128x1x1
Qcur-6,kernel_add_row,0.138500,114688x0x0,64x0x0,3584x128x1x1
Qcur-6,kernel_rope_neox_f32,0.116400,1792x128x1,64x1x1,128x28x128x1
Kcur-6,kernel_add_row,0.021900,16384x0x0,64x0x0,512x128x1x1
Kcur-6,kernel_rope_neox_f32,0.012700,256x128x1,64x1x1,128x4x128x1
Vcur-6,kernel_add_row,0.013200,16384x0x0,64x0x0,512x128x1x1
cache_k_l6 (view),kernel_set_rows_f16_i64,0.018800,65536x1x1,512x1x1,512x4096x1x1
cache_v_l6 (view),kernel_set_rows_f16_i64,0.015000,65536x1x1,512x1x1,512x4096x1x1
__fattn__-6,flash_attn_f32_f16,45.120998,128x28x0,32x1x0,128x28x128x1
ffn_inp-6,kernel_add,0.242200,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-6,kernel_rms_norm_mul,0.096900,131072x1x1,1024x1x1,3584x128x1x1
l_out-6,kernel_add,0.153000,8192x1x1,64x1x1,3584x128x1x1
attn_norm-7,kernel_rms_norm_mul,0.092500,131072x1x1,1024x1x1,3584x128x1x1
Qcur-7,kernel_add_row,0.079000,114688x0x0,64x0x0,3584x128x1x1
Qcur-7,kernel_rope_neox_f32,0.080100,1792x128x1,64x1x1,128x28x128x1
Kcur-7,kernel_add_row,0.015600,16384x0x0,64x0x0,512x128x1x1
Kcur-7,kernel_rope_neox_f32,0.012100,256x128x1,64x1x1,128x4x128x1
Vcur-7,kernel_add_row,0.010100,16384x0x0,64x0x0,512x128x1x1
cache_k_l7 (view),kernel_set_rows_f16_i64,0.015700,65536x1x1,512x1x1,512x4096x1x1
cache_v_l7 (view),kernel_set_rows_f16_i64,0.014500,65536x1x1,512x1x1,512x4096x1x1
__fattn__-7,flash_attn_f32_f16,43.751598,128x28x0,32x1x0,128x28x128x1
ffn_inp-7,kernel_add,0.223300,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-7,kernel_rms_norm_mul,0.111400,131072x1x1,1024x1x1,3584x128x1x1
l_out-7,kernel_add,0.125700,8192x1x1,64x1x1,3584x128x1x1
attn_norm-8,kernel_rms_norm_mul,0.087900,131072x1x1,1024x1x1,3584x128x1x1
Qcur-8,kernel_add_row,0.071100,114688x0x0,64x0x0,3584x128x1x1
Qcur-8,kernel_rope_neox_f32,0.074500,1792x128x1,64x1x1,128x28x128x1
Kcur-8,kernel_add_row,0.010800,16384x0x0,64x0x0,512x128x1x1
Kcur-8,kernel_rope_neox_f32,0.012100,256x128x1,64x1x1,128x4x128x1
node_284,kernel_mul_mv_q6_K_f32,15.587300,512x8192x1,2x64x1,512x128x1x1
Vcur-8,kernel_add_row,0.012700,16384x0x0,64x0x0,512x128x1x1
cache_k_l8 (view),kernel_set_rows_f16_i64,0.019700,65536x1x1,512x1x1,512x4096x1x1
cache_v_l8 (view),kernel_set_rows_f16_i64,0.015000,65536x1x1,512x1x1,512x4096x1x1
__fattn__-8,flash_attn_f32_f16,47.687401,128x28x0,32x1x0,128x28x128x1
ffn_inp-8,kernel_add,0.225000,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-8,kernel_rms_norm_mul,0.111900,131072x1x1,1024x1x1,3584x128x1x1
ffn_swiglu-8,kernel_swiglu,0.585000,65536x1x1,512x1x1,18944x128x1x1
ffn_out-8,kernel_mul_mv_q6_K_f32,547.993286,3584x8192x1,2x64x1,3584x128x1x1
l_out-8,kernel_add,0.218900,8192x1x1,64x1x1,3584x128x1x1
attn_norm-9,kernel_rms_norm_mul,0.115800,131072x1x1,1024x1x1,3584x128x1x1
Qcur-9,kernel_add_row,0.137100,114688x0x0,64x0x0,3584x128x1x1
Qcur-9,kernel_rope_neox_f32,0.121200,1792x128x1,64x1x1,128x28x128x1
Kcur-9,kernel_add_row,0.022300,16384x0x0,64x0x0,512x128x1x1
Kcur-9,kernel_rope_neox_f32,0.013200,256x128x1,64x1x1,128x4x128x1
Vcur-9,kernel_add_row,0.013000,16384x0x0,64x0x0,512x128x1x1
cache_k_l9 (view),kernel_set_rows_f16_i64,0.019200,65536x1x1,512x1x1,512x4096x1x1
cache_v_l9 (view),kernel_set_rows_f16_i64,0.015300,65536x1x1,512x1x1,512x4096x1x1
__fattn__-9,flash_attn_f32_f16,45.221100,128x28x0,32x1x0,128x28x128x1
ffn_inp-9,kernel_add,0.219800,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-9,kernel_rms_norm_mul,0.107000,131072x1x1,1024x1x1,3584x128x1x1
l_out-9,kernel_add,0.124000,8192x1x1,64x1x1,3584x128x1x1
attn_norm-10,kernel_rms_norm_mul,0.088800,131072x1x1,1024x1x1,3584x128x1x1
Qcur-10,kernel_add_row,0.069700,114688x0x0,64x0x0,3584x128x1x1
Qcur-10,kernel_rope_neox_f32,0.075800,1792x128x1,64x1x1,128x28x128x1
Kcur-10,kernel_add_row,0.014000,16384x0x0,64x0x0,512x128x1x1
Kcur-10,kernel_rope_neox_f32,0.012100,256x128x1,64x1x1,128x4x128x1
Vcur-10,kernel_add_row,0.009800,16384x0x0,64x0x0,512x128x1x1
cache_k_l10 (view),kernel_set_rows_f16_i64,0.015700,65536x1x1,512x1x1,512x4096x1x1
cache_v_l10 (view),kernel_set_rows_f16_i64,0.014400,65536x1x1,512x1x1,512x4096x1x1
__fattn__-10,flash_attn_f32_f16,41.257301,128x28x0,32x1x0,128x28x128x1
ffn_inp-10,kernel_add,0.218500,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-10,kernel_rms_norm_mul,0.109000,131072x1x1,1024x1x1,3584x128x1x1
l_out-10,kernel_add,0.187400,8192x1x1,64x1x1,3584x128x1x1
attn_norm-11,kernel_rms_norm_mul,0.104800,131072x1x1,1024x1x1,3584x128x1x1
Qcur-11,kernel_add_row,0.111400,114688x0x0,64x0x0,3584x128x1x1
Qcur-11,kernel_rope_neox_f32,0.105600,1792x128x1,64x1x1,128x28x128x1
Kcur-11,kernel_add_row,0.015100,16384x0x0,64x0x0,512x128x1x1
Kcur-11,kernel_rope_neox_f32,0.012700,256x128x1,64x1x1,128x4x128x1
node_386,kernel_mul_mv_q6_K_f32,15.998900,512x8192x1,2x64x1,512x128x1x1
Vcur-11,kernel_add_row,0.012600,16384x0x0,64x0x0,512x128x1x1
cache_k_l11 (view),kernel_set_rows_f16_i64,0.020100,65536x1x1,512x1x1,512x4096x1x1
cache_v_l11 (view),kernel_set_rows_f16_i64,0.014700,65536x1x1,512x1x1,512x4096x1x1
__fattn__-11,flash_attn_f32_f16,46.643902,128x28x0,32x1x0,128x28x128x1
ffn_inp-11,kernel_add,0.220800,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-11,kernel_rms_norm_mul,0.109500,131072x1x1,1024x1x1,3584x128x1x1
ffn_swiglu-11,kernel_swiglu,0.555600,65536x1x1,512x1x1,18944x128x1x1
ffn_out-11,kernel_mul_mv_q6_K_f32,546.859497,3584x8192x1,2x64x1,3584x128x1x1
l_out-11,kernel_add,0.225600,8192x1x1,64x1x1,3584x128x1x1
attn_norm-12,kernel_rms_norm_mul,0.107200,131072x1x1,1024x1x1,3584x128x1x1
Qcur-12,kernel_add_row,0.133000,114688x0x0,64x0x0,3584x128x1x1
Qcur-12,kernel_rope_neox_f32,0.120400,1792x128x1,64x1x1,128x28x128x1
Kcur-12,kernel_add_row,0.024500,16384x0x0,64x0x0,512x128x1x1
Kcur-12,kernel_rope_neox_f32,0.013400,256x128x1,64x1x1,128x4x128x1
Vcur-12,kernel_add_row,0.013200,16384x0x0,64x0x0,512x128x1x1
cache_k_l12 (view),kernel_set_rows_f16_i64,0.020200,65536x1x1,512x1x1,512x4096x1x1
cache_v_l12 (view),kernel_set_rows_f16_i64,0.015300,65536x1x1,512x1x1,512x4096x1x1
__fattn__-12,flash_attn_f32_f16,46.715401,128x28x0,32x1x0,128x28x128x1
ffn_inp-12,kernel_add,0.229500,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-12,kernel_rms_norm_mul,0.109100,131072x1x1,1024x1x1,3584x128x1x1
l_out-12,kernel_add,0.121600,8192x1x1,64x1x1,3584x128x1x1
attn_norm-13,kernel_rms_norm_mul,0.088300,131072x1x1,1024x1x1,3584x128x1x1
Qcur-13,kernel_add_row,0.070600,114688x0x0,64x0x0,3584x128x1x1
