expert, cumulative_assign
8,46
33,46
57,46
21,47
25,47
12,48
62,48
22,49
60,49
63,49
31,50
40,50
61,50
3,51
5,52
7,52
41,52
55,52
27,53
32,54
38,54
0,55
52,55
20,56
30,56
53,56
59,56
39,57
50,57
2,58
29,58
35,58
49,58
28,59
11,60
17,60
45,60
10,62
16,63
48,64
51,64
56,64
34,65
4,66
43,66
6,67
14,67
15,67
13,68
44,69
36,70
42,70
19,71
23,71
24,71
58,71
1,72
9,72
46,72
54,72
37,76
18,78
26,78
47,80
