op name, kernel name, exec duration (ms), global size, local size, output size
attn_norm-0,kernel_rms_norm_mul,0.294200,524288x1x1,1024x1x1,3584x512x1x1
Qcur-0,kernel_add_row,0.209900,458752x0x0,64x0x0,3584x512x1x1
Qcur-0,kernel_rope_neox_f32,0.231100,1792x512x1,64x1x1,128x28x512x1
Kcur-0,kernel_add_row,0.021400,65536x0x0,64x0x0,512x512x1x1
Kcur-0,kernel_rope_neox_f32,0.028300,256x512x1,64x1x1,128x4x512x1
node_11,kernel_mul_mv_q6_K_f32,30.032400,512x32768x1,2x64x1,512x512x1x1
Vcur-0,kernel_add_row,0.018000,65536x0x0,64x0x0,512x512x1x1
cache_k_l0 (view),kernel_set_rows_f16_i64,0.035800,262144x1x1,512x1x1,512x4096x1x1
cache_v_l0 (view),kernel_set_rows_f16_i64,0.025600,262144x1x1,512x1x1,512x4096x1x1
 (copy),kernel_cpy_f32_f16,0.024000,32768x1x1,64x1x1,512x512x1x1
__fattn__-0,flash_attn_f32_f16,78.004303,512x28x0,32x1x0,128x28x512x1
ffn_inp-0,kernel_add,0.342000,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-0,kernel_rms_norm_mul,0.198800,524288x1x1,1024x1x1,3584x512x1x1
ffn_swiglu-0,kernel_swiglu,1.621000,262144x1x1,512x1x1,18944x512x1x1
ffn_out-0,kernel_mul_mv_q6_K_f32,1063.328857,3584x32768x1,2x64x1,3584x512x1x1
l_out-0,kernel_add,0.319400,32768x1x1,64x1x1,3584x512x1x1
attn_norm-1,kernel_rms_norm_mul,0.196900,524288x1x1,1024x1x1,3584x512x1x1
Qcur-1,kernel_add_row,0.200700,458752x0x0,64x0x0,3584x512x1x1
Qcur-1,kernel_rope_neox_f32,0.230400,1792x512x1,64x1x1,128x28x512x1
Kcur-1,kernel_add_row,0.023200,65536x0x0,64x0x0,512x512x1x1
Kcur-1,kernel_rope_neox_f32,0.028000,256x512x1,64x1x1,128x4x512x1
node_46,kernel_mul_mv_q6_K_f32,30.026400,512x32768x1,2x64x1,512x512x1x1
Vcur-1,kernel_add_row,0.017500,65536x0x0,64x0x0,512x512x1x1
cache_k_l1 (view),kernel_set_rows_f16_i64,0.035600,262144x1x1,512x1x1,512x4096x1x1
cache_v_l1 (view),kernel_set_rows_f16_i64,0.026000,262144x1x1,512x1x1,512x4096x1x1
__fattn__-1,flash_attn_f32_f16,78.167999,512x28x0,32x1x0,128x28x512x1
ffn_inp-1,kernel_add,0.325500,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-1,kernel_rms_norm_mul,0.197800,524288x1x1,1024x1x1,3584x512x1x1
ffn_swiglu-1,kernel_swiglu,1.623700,262144x1x1,512x1x1,18944x512x1x1
ffn_out-1,kernel_mul_mv_q6_K_f32,1060.587524,3584x32768x1,2x64x1,3584x512x1x1
l_out-1,kernel_add,0.320100,32768x1x1,64x1x1,3584x512x1x1
attn_norm-2,kernel_rms_norm_mul,0.198600,524288x1x1,1024x1x1,3584x512x1x1
Qcur-2,kernel_add_row,0.194400,458752x0x0,64x0x0,3584x512x1x1
Qcur-2,kernel_rope_neox_f32,0.230000,1792x512x1,64x1x1,128x28x512x1
Kcur-2,kernel_add_row,0.023200,65536x0x0,64x0x0,512x512x1x1
Kcur-2,kernel_rope_neox_f32,0.027200,256x512x1,64x1x1,128x4x512x1
node_80,kernel_mul_mv_q6_K_f32,30.035400,512x32768x1,2x64x1,512x512x1x1
Vcur-2,kernel_add_row,0.017800,65536x0x0,64x0x0,512x512x1x1
cache_k_l2 (view),kernel_set_rows_f16_i64,0.035700,262144x1x1,512x1x1,512x4096x1x1
cache_v_l2 (view),kernel_set_rows_f16_i64,0.025700,262144x1x1,512x1x1,512x4096x1x1
__fattn__-2,flash_attn_f32_f16,78.055000,512x28x0,32x1x0,128x28x512x1
ffn_inp-2,kernel_add,0.331200,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-2,kernel_rms_norm_mul,0.199900,524288x1x1,1024x1x1,3584x512x1x1
ffn_swiglu-2,kernel_swiglu,1.619800,262144x1x1,512x1x1,18944x512x1x1
ffn_out-2,kernel_mul_mv_q6_K_f32,1062.189209,3584x32768x1,2x64x1,3584x512x1x1
l_out-2,kernel_add,0.322300,32768x1x1,64x1x1,3584x512x1x1
attn_norm-3,kernel_rms_norm_mul,0.197400,524288x1x1,1024x1x1,3584x512x1x1
Qcur-3,kernel_add_row,0.197000,458752x0x0,64x0x0,3584x512x1x1
Qcur-3,kernel_rope_neox_f32,0.231900,1792x512x1,64x1x1,128x28x512x1
Kcur-3,kernel_add_row,0.021800,65536x0x0,64x0x0,512x512x1x1
Kcur-3,kernel_rope_neox_f32,0.027500,256x512x1,64x1x1,128x4x512x1
Vcur-3,kernel_add_row,0.019200,65536x0x0,64x0x0,512x512x1x1
cache_k_l3 (view),kernel_set_rows_f16_i64,0.025900,262144x1x1,512x1x1,512x4096x1x1
cache_v_l3 (view),kernel_set_rows_f16_i64,0.024100,262144x1x1,512x1x1,512x4096x1x1
__fattn__-3,flash_attn_f32_f16,79.495293,512x28x0,32x1x0,128x28x512x1
ffn_inp-3,kernel_add,0.327400,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-3,kernel_rms_norm_mul,0.199300,524288x1x1,1024x1x1,3584x512x1x1
l_out-3,kernel_add,0.321800,32768x1x1,64x1x1,3584x512x1x1
attn_norm-4,kernel_rms_norm_mul,0.197400,524288x1x1,1024x1x1,3584x512x1x1
Qcur-4,kernel_add_row,0.201000,458752x0x0,64x0x0,3584x512x1x1
Qcur-4,kernel_rope_neox_f32,0.232800,1792x512x1,64x1x1,128x28x512x1
Kcur-4,kernel_add_row,0.021200,65536x0x0,64x0x0,512x512x1x1
Kcur-4,kernel_rope_neox_f32,0.027300,256x512x1,64x1x1,128x4x512x1
Vcur-4,kernel_add_row,0.020000,65536x0x0,64x0x0,512x512x1x1
cache_k_l4 (view),kernel_set_rows_f16_i64,0.026100,262144x1x1,512x1x1,512x4096x1x1
cache_v_l4 (view),kernel_set_rows_f16_i64,0.024100,262144x1x1,512x1x1,512x4096x1x1
__fattn__-4,flash_attn_f32_f16,77.935104,512x28x0,32x1x0,128x28x512x1
ffn_inp-4,kernel_add,0.329500,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-4,kernel_rms_norm_mul,0.200100,524288x1x1,1024x1x1,3584x512x1x1
l_out-4,kernel_add,0.320200,32768x1x1,64x1x1,3584x512x1x1
attn_norm-5,kernel_rms_norm_mul,0.199500,524288x1x1,1024x1x1,3584x512x1x1
Qcur-5,kernel_add_row,0.200000,458752x0x0,64x0x0,3584x512x1x1
Qcur-5,kernel_rope_neox_f32,0.232000,1792x512x1,64x1x1,128x28x512x1
Kcur-5,kernel_add_row,0.023000,65536x0x0,64x0x0,512x512x1x1
Kcur-5,kernel_rope_neox_f32,0.026700,256x512x1,64x1x1,128x4x512x1
node_182,kernel_mul_mv_q6_K_f32,30.033001,512x32768x1,2x64x1,512x512x1x1
Vcur-5,kernel_add_row,0.018100,65536x0x0,64x0x0,512x512x1x1
cache_k_l5 (view),kernel_set_rows_f16_i64,0.034200,262144x1x1,512x1x1,512x4096x1x1
cache_v_l5 (view),kernel_set_rows_f16_i64,0.025700,262144x1x1,512x1x1,512x4096x1x1
__fattn__-5,flash_attn_f32_f16,78.068398,512x28x0,32x1x0,128x28x512x1
ffn_inp-5,kernel_add,0.328500,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-5,kernel_rms_norm_mul,0.199800,524288x1x1,1024x1x1,3584x512x1x1
ffn_swiglu-5,kernel_swiglu,2.645700,262144x1x1,512x1x1,18944x512x1x1
ffn_out-5,kernel_mul_mv_q6_K_f32,1060.242676,3584x32768x1,2x64x1,3584x512x1x1
l_out-5,kernel_add,0.319100,32768x1x1,64x1x1,3584x512x1x1
attn_norm-6,kernel_rms_norm_mul,0.199800,524288x1x1,1024x1x1,3584x512x1x1
Qcur-6,kernel_add_row,0.200900,458752x0x0,64x0x0,3584x512x1x1
Qcur-6,kernel_rope_neox_f32,0.233300,1792x512x1,64x1x1,128x28x512x1
Kcur-6,kernel_add_row,0.021200,65536x0x0,64x0x0,512x512x1x1
Kcur-6,kernel_rope_neox_f32,0.027900,256x512x1,64x1x1,128x4x512x1
Vcur-6,kernel_add_row,0.019300,65536x0x0,64x0x0,512x512x1x1
cache_k_l6 (view),kernel_set_rows_f16_i64,0.026000,262144x1x1,512x1x1,512x4096x1x1
cache_v_l6 (view),kernel_set_rows_f16_i64,0.024100,262144x1x1,512x1x1,512x4096x1x1
__fattn__-6,flash_attn_f32_f16,77.955597,512x28x0,32x1x0,128x28x512x1
ffn_inp-6,kernel_add,0.329600,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-6,kernel_rms_norm_mul,0.199300,524288x1x1,1024x1x1,3584x512x1x1
l_out-6,kernel_add,0.323800,32768x1x1,64x1x1,3584x512x1x1
attn_norm-7,kernel_rms_norm_mul,0.197800,524288x1x1,1024x1x1,3584x512x1x1
Qcur-7,kernel_add_row,0.194500,458752x0x0,64x0x0,3584x512x1x1
Qcur-7,kernel_rope_neox_f32,0.231600,1792x512x1,64x1x1,128x28x512x1
Kcur-7,kernel_add_row,0.022400,65536x0x0,64x0x0,512x512x1x1
Kcur-7,kernel_rope_neox_f32,0.027900,256x512x1,64x1x1,128x4x512x1
Vcur-7,kernel_add_row,0.019700,65536x0x0,64x0x0,512x512x1x1
cache_k_l7 (view),kernel_set_rows_f16_i64,0.026200,262144x1x1,512x1x1,512x4096x1x1
cache_v_l7 (view),kernel_set_rows_f16_i64,0.024000,262144x1x1,512x1x1,512x4096x1x1
__fattn__-7,flash_attn_f32_f16,78.046204,512x28x0,32x1x0,128x28x512x1
ffn_inp-7,kernel_add,0.326800,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-7,kernel_rms_norm_mul,0.198400,524288x1x1,1024x1x1,3584x512x1x1
l_out-7,kernel_add,0.328600,32768x1x1,64x1x1,3584x512x1x1
attn_norm-8,kernel_rms_norm_mul,0.198400,524288x1x1,1024x1x1,3584x512x1x1
Qcur-8,kernel_add_row,0.198900,458752x0x0,64x0x0,3584x512x1x1
Qcur-8,kernel_rope_neox_f32,0.232300,1792x512x1,64x1x1,128x28x512x1
Kcur-8,kernel_add_row,0.022300,65536x0x0,64x0x0,512x512x1x1
Kcur-8,kernel_rope_neox_f32,0.027900,256x512x1,64x1x1,128x4x512x1
node_284,kernel_mul_mv_q6_K_f32,30.030399,512x32768x1,2x64x1,512x512x1x1
Vcur-8,kernel_add_row,0.017600,65536x0x0,64x0x0,512x512x1x1
cache_k_l8 (view),kernel_set_rows_f16_i64,0.035200,262144x1x1,512x1x1,512x4096x1x1
cache_v_l8 (view),kernel_set_rows_f16_i64,0.025600,262144x1x1,512x1x1,512x4096x1x1
__fattn__-8,flash_attn_f32_f16,78.572495,512x28x0,32x1x0,128x28x512x1
ffn_inp-8,kernel_add,0.324500,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-8,kernel_rms_norm_mul,0.199500,524288x1x1,1024x1x1,3584x512x1x1
ffn_swiglu-8,kernel_swiglu,1.620900,262144x1x1,512x1x1,18944x512x1x1
ffn_out-8,kernel_mul_mv_q6_K_f32,1059.728882,3584x32768x1,2x64x1,3584x512x1x1
l_out-8,kernel_add,0.319500,32768x1x1,64x1x1,3584x512x1x1
attn_norm-9,kernel_rms_norm_mul,0.199400,524288x1x1,1024x1x1,3584x512x1x1
Qcur-9,kernel_add_row,0.200500,458752x0x0,64x0x0,3584x512x1x1
Qcur-9,kernel_rope_neox_f32,0.233600,1792x512x1,64x1x1,128x28x512x1
Kcur-9,kernel_add_row,0.022900,65536x0x0,64x0x0,512x512x1x1
Kcur-9,kernel_rope_neox_f32,0.028000,256x512x1,64x1x1,128x4x512x1
Vcur-9,kernel_add_row,0.019900,65536x0x0,64x0x0,512x512x1x1
cache_k_l9 (view),kernel_set_rows_f16_i64,0.026300,262144x1x1,512x1x1,512x4096x1x1
cache_v_l9 (view),kernel_set_rows_f16_i64,0.024300,262144x1x1,512x1x1,512x4096x1x1
__fattn__-9,flash_attn_f32_f16,78.147293,512x28x0,32x1x0,128x28x512x1
ffn_inp-9,kernel_add,0.330300,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-9,kernel_rms_norm_mul,0.197500,524288x1x1,1024x1x1,3584x512x1x1
l_out-9,kernel_add,0.325100,32768x1x1,64x1x1,3584x512x1x1
attn_norm-10,kernel_rms_norm_mul,0.198900,524288x1x1,1024x1x1,3584x512x1x1
Qcur-10,kernel_add_row,0.198800,458752x0x0,64x0x0,3584x512x1x1
Qcur-10,kernel_rope_neox_f32,0.231100,1792x512x1,64x1x1,128x28x512x1
Kcur-10,kernel_add_row,0.022300,65536x0x0,64x0x0,512x512x1x1
Kcur-10,kernel_rope_neox_f32,0.027500,256x512x1,64x1x1,128x4x512x1
Vcur-10,kernel_add_row,0.020100,65536x0x0,64x0x0,512x512x1x1
cache_k_l10 (view),kernel_set_rows_f16_i64,0.026200,262144x1x1,512x1x1,512x4096x1x1
cache_v_l10 (view),kernel_set_rows_f16_i64,0.024200,262144x1x1,512x1x1,512x4096x1x1
__fattn__-10,flash_attn_f32_f16,78.015694,512x28x0,32x1x0,128x28x512x1
ffn_inp-10,kernel_add,0.327400,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-10,kernel_rms_norm_mul,0.198800,524288x1x1,1024x1x1,3584x512x1x1
l_out-10,kernel_add,0.328100,32768x1x1,64x1x1,3584x512x1x1
attn_norm-11,kernel_rms_norm_mul,0.201200,524288x1x1,1024x1x1,3584x512x1x1
Qcur-11,kernel_add_row,0.211700,458752x0x0,64x0x0,3584x512x1x1
Qcur-11,kernel_rope_neox_f32,0.250900,1792x512x1,64x1x1,128x28x512x1
Kcur-11,kernel_add_row,0.025100,65536x0x0,64x0x0,512x512x1x1
Kcur-11,kernel_rope_neox_f32,0.029400,256x512x1,64x1x1,128x4x512x1
node_386,kernel_mul_mv_q6_K_f32,36.823299,512x32768x1,2x64x1,512x512x1x1
Vcur-11,kernel_add_row,0.035100,65536x0x0,64x0x0,512x512x1x1
cache_k_l11 (view),kernel_set_rows_f16_i64,0.047300,262144x1x1,512x1x1,512x4096x1x1
cache_v_l11 (view),kernel_set_rows_f16_i64,0.029700,262144x1x1,512x1x1,512x4096x1x1
__fattn__-11,flash_attn_f32_f16,102.711296,512x28x0,32x1x0,128x28x512x1
ffn_inp-11,kernel_add,0.323800,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-11,kernel_rms_norm_mul,0.203000,524288x1x1,1024x1x1,3584x512x1x1
ffn_swiglu-11,kernel_swiglu,1.734900,262144x1x1,512x1x1,18944x512x1x1
ffn_out-11,kernel_mul_mv_q6_K_f32,1069.820679,3584x32768x1,2x64x1,3584x512x1x1
l_out-11,kernel_add,0.322000,32768x1x1,64x1x1,3584x512x1x1
attn_norm-12,kernel_rms_norm_mul,0.198100,524288x1x1,1024x1x1,3584x512x1x1
Qcur-12,kernel_add_row,0.201400,458752x0x0,64x0x0,3584x512x1x1
Qcur-12,kernel_rope_neox_f32,0.232200,1792x512x1,64x1x1,128x28x512x1
Kcur-12,kernel_add_row,0.024800,65536x0x0,64x0x0,512x512x1x1
Kcur-12,kernel_rope_neox_f32,0.027300,256x512x1,64x1x1,128x4x512x1
Vcur-12,kernel_add_row,0.018100,65536x0x0,64x0x0,512x512x1x1
cache_k_l12 (view),kernel_set_rows_f16_i64,0.027200,262144x1x1,512x1x1,512x4096x1x1
cache_v_l12 (view),kernel_set_rows_f16_i64,0.024000,262144x1x1,512x1x1,512x4096x1x1
__fattn__-12,flash_attn_f32_f16,83.646301,512x28x0,32x1x0,128x28x512x1
ffn_inp-12,kernel_add,0.343800,32768x1x1,64x1x1,3584x512x1x1
ffn_norm-12,kernel_rms_norm_mul,0.212400,524288x1x1,1024x1x1,3584x512x1x1
l_out-12,kernel_add,0.324300,32768x1x1,64x1x1,3584x512x1x1
attn_norm-13,kernel_rms_norm_mul,0.200500,524288x1x1,1024x1x1,3584x512x1x1
Qcur-13,kernel_add_row,0.197800,458752x0x0,64x0x0,3584x512x1x1
Qcur-13,kernel_rope_neox_f32,0.235100,1792x512x1,64x1x1,128x28x512x1
Kcur-13,kernel_add_row,0.022500,65536x0x0,64x0x0,512x512x1x1
Kcur-13,kernel_rope_neox_f32,0.028900,256x512x1,64x1x1,128x4x512x1
Vcur-13,kernel_add_row,0.018000,65536x0x0,64x0x0,512x512x1x1
cache_k_l13 (view),kernel_set_rows_f16_i64,0.027500,262144x1x1,512x1x1,512x4096x1x1
