op name, kernel name, exec duration (ms), global size, local size, output size
node_1269,kernel_add,0.024300,4096x1x1,64x1x1,2048x64x1x1
node_1270,kernel_add,0.020000,4096x1x1,64x1x1,2048x64x1x1
node_1271,kernel_add,0.018000,4096x1x1,64x1x1,2048x64x1x1
node_1272,kernel_add,0.017100,4096x1x1,64x1x1,2048x64x1x1
ffn_moe_out-19,kernel_add,0.017600,4096x1x1,64x1x1,2048x64x1x1
ffn_shexp-19,kernel_transpose_32_16,0.012300,704x16x0,1x16x0,2048x64x1x1
ffn_shexp-19,kernel_mul_mat_Ab_Bi_8x4,0.535600,8x512x1,1x128x1,2048x64x1x1
ffn_out-19,kernel_add,0.021400,4096x1x1,64x1x1,2048x64x1x1
l_out-19,kernel_add,0.018000,4096x1x1,64x1x1,2048x64x1x1
attn_norm-20,kernel_rms_norm_mul,0.019100,65536x1x1,1024x1x1,2048x64x1x1
q-20,kernel_transpose_32_16,0.006800,512x16x0,1x16x0,3072x64x1x1
q-20,kernel_mul_mat_Ab_Bi_8x4,0.388000,8x768x1,1x128x1,3072x64x1x1
q_pe-20,kernel_rope_norm_f32,0.009400,1024x64x1,64x1x1,64x16x64x1
Qcur-20,kernel_concat_f32_non_contiguous,0.346000,16x64x1,0x0x0,192x16x64x1
kv_cmpr_pe-20,kernel_transpose_32_16,0.010400,512x16x0,1x16x0,576x64x1x1
kv_cmpr_pe-20,kernel_mul_mat_Ab_Bi_8x4,0.315700,8x144x1,1x128x1,576x64x1x1
k_pe-20,kernel_rope_norm_f32,0.002600,64x64x1,64x1x1,64x1x64x1
node_1287,kernel_repeat,0.285600,16x64x1,0x0x0,64x16x64x1
kv_cmpr-20,kernel_rms_norm_mul,0.010300,32768x1x1,512x1x1,512x64x1x1
kv-20,kernel_transpose_32_16,0.004000,128x16x0,1x16x0,4096x64x1x1
kv-20,kernel_mul_mat_Ab_Bi_8x4,0.134500,8x1024x1,1x128x1,4096x64x1x1
Kcur-20,kernel_concat_f32_non_contiguous,0.414800,16x64x1,0x0x0,192x16x64x1
Vcur_cont-20,kernel_cpy_f32_f32,0.014500,1024x64x1,64x1x1,128x16x64x1
cache_k_l20 (view),kernel_set_rows_f16_i64,0.015400,65536x1x1,1024x1x1,3072x4096x1x1
cache_v_l20 (view),kernel_set_rows_f16_i64,0.011800,65536x1x1,1024x1x1,2048x4096x1x1
__fattn__-20,flash_attn_f32_f16,9.383600,64x16x0,16x1x0,128x16x64x1
node_1308,kernel_transpose_32_16,0.009500,512x16x0,1x16x0,2048x64x1x1
node_1308,kernel_mul_mat_Ab_Bi_8x4,0.379900,8x512x1,1x128x1,2048x64x1x1
ffn_inp-20,kernel_add,0.017000,4096x1x1,64x1x1,2048x64x1x1
ffn_norm-20,kernel_rms_norm_mul,0.019500,65536x1x1,1024x1x1,2048x64x1x1
ffn_moe_logits-20,kernel_mul_mm_f32_f32_l4_lm,0.516800,128x1x1,128x1x1,64x64x1x1
ffn_moe_probs-20,kernel_soft_max_4,0.003600,4096x1x1,64x1x1,64x64x1x1
ffn_moe_argsort-20,kernel_argsort_f32_i32,0.015100,64x64x1,64x1x1,64x64x1x1
ffn_moe_weights-20,kernel_get_rows_f32,0.004100,384x64x1,64x1x1,1x6x64x1
ffn_moe_weights_scaled-20,kernel_scale,0.001800,96x1x1,64x1x1,1x6x64x1
ffn_moe_gate-20,kernel_mul_mv_id_q4_0_f32_8x_flat,9.176900,11264x1x384,64x1x1,1408x6x64x1
ffn_moe_up-20,kernel_mul_mv_id_q4_0_f32_8x_flat,9.183800,11264x1x384,64x1x1,1408x6x64x1
ffn_moe_weighted-20,kernel_swiglu,0.081300,196608x1x1,512x1x1,1408x6x64x1
ffn_moe_down-20,kernel_mul_mv_id_q4_0_f32_8x_flat,9.883100,16384x1x384,64x1x1,2048x6x64x1
node_1324,kernel_mul,0.099100,384x64x1,64x1x1,2048x6x64x1
ffn_gate-20,kernel_transpose_32_16,0.011100,512x16x0,1x16x0,2816x64x1x1
ffn_gate-20,kernel_mul_mat_Ab_Bi_8x4,0.381000,8x704x1,1x128x1,2816x64x1x1
ffn_up-20,kernel_transpose_32_16,0.010000,512x16x0,1x16x0,2816x64x1x1
ffn_up-20,kernel_mul_mat_Ab_Bi_8x4,0.386200,8x704x1,1x128x1,2816x64x1x1
ffn_swiglu-20,kernel_swiglu,0.021300,32768x1x1,512x1x1,2816x64x1x1
node_1334,kernel_add,0.023600,4096x1x1,64x1x1,2048x64x1x1
node_1335,kernel_add,0.021000,4096x1x1,64x1x1,2048x64x1x1
