op name, kernel name, exec duration (ms), global size, local size, output size
attn_norm-0,kernel_rms_norm_mul,0.015000,32768x1x1,1024x1x1,2048x32x1x1
q-0,kernel_transpose_32_16,0.010900,512x8x0,1x16x0,3072x32x1x1
q-0,kernel_mul_mat_Ab_Bi_8x4,0.343000,4x768x1,1x128x1,3072x32x1x1
q_pe-0,kernel_rope_norm_f32,0.007700,1024x32x1,64x1x1,64x16x32x1
Qcur-0,kernel_concat_f32_non_contiguous,0.173900,16x32x1,0x0x0,192x16x32x1
kv_cmpr_pe-0,kernel_transpose_32_16,0.006200,512x8x0,1x16x0,576x32x1x1
kv_cmpr_pe-0,kernel_mul_mat_Ab_Bi_8x4,0.314700,4x144x1,1x128x1,576x32x1x1
k_pe-0,kernel_rope_norm_f32,0.002500,64x32x1,64x1x1,64x1x32x1
node_11,kernel_repeat,0.138000,16x32x1,0x0x0,64x16x32x1
kv_cmpr-0,kernel_rms_norm_mul,0.005900,16384x1x1,512x1x1,512x32x1x1
kv-0,kernel_transpose_32_16,0.003400,128x8x0,1x16x0,4096x32x1x1
kv-0,kernel_mul_mat_Ab_Bi_8x4,0.097400,4x1024x1,1x128x1,4096x32x1x1
Kcur-0,kernel_concat_f32_non_contiguous,0.180300,16x32x1,0x0x0,192x16x32x1
Vcur_cont-0,kernel_cpy_f32_f32,0.008100,1024x32x1,64x1x1,128x16x32x1
cache_k_l0 (view),kernel_set_rows_f16_i64,0.009900,32768x1x1,1024x1x1,3072x4096x1x1
cache_v_l0 (view),kernel_set_rows_f16_i64,0.008800,32768x1x1,1024x1x1,2048x4096x1x1
 (copy),kernel_cpy_f32_f16,0.003900,4096x1x1,64x1x1,256x64x1x1
__fattn__-0,flash_attn_f32_f16,3.132000,32x16x0,16x1x0,128x16x32x1
node_33,kernel_transpose_32_16,0.006000,512x8x0,1x16x0,2048x32x1x1
node_33,kernel_mul_mat_Ab_Bi_8x4,0.326900,4x512x1,1x128x1,2048x32x1x1
