layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25
10,4,3,5,26,20,2,3,2,0,0,13,2,9,3,17,7,3,8,16,23,11,7,4,6
25,8,18,7,29,23,18,18,28,13,23,18,4,16,6,26,13,19,20,30,28,15,11,8,29
33,19,38,14,32,39,22,28,29,14,25,35,7,20,26,28,23,22,32,44,29,37,17,12,34
43,35,46,16,44,53,36,32,42,32,32,47,27,27,50,33,32,38,51,52,45,56,20,48,49
47,44,49,42,57,60,51,40,49,54,49,48,50,28,59,51,33,44,54,58,52,58,47,55,50
53,55,60,46,59,61,56,61,56,55,59,51,56,38,61,55,46,61,56,62,60,60,55,59,52
